arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
piccolo/apps/migrations/auto/schema_differ.py,funcao,change_table_schemas,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,_get_snapshot_table,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/schema_differ.py,funcao,alter_columns,3,6,4,8,9,12,20.2647,38.0391,2.0,76.0782,4.2266,0.0127
piccolo/apps/migrations/auto/schema_differ.py,funcao,drop_columns,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
piccolo/apps/migrations/auto/schema_differ.py,funcao,add_columns,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
piccolo/apps/migrations/auto/schema_differ.py,funcao,rename_columns,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_differ.py,funcao,new_table_columns,3,6,3,6,9,9,20.2647,28.5293,1.5,42.794,2.3774,0.0095
piccolo/apps/migrations/auto/schema_differ.py,funcao,get_alter_statements,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/diffable_table.py,funcao,compare_dicts,4,8,4,9,12,13,32.0,46.6045,2.25,104.8602,5.8256,0.0155
piccolo/apps/migrations/auto/diffable_table.py,funcao,__eq__,3,5,4,7,8,11,16.3645,33.0,2.1,69.3,3.85,0.011
piccolo/apps/migrations/auto/diffable_table.py,funcao,__hash__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
piccolo/apps/migrations/auto/diffable_table.py,funcao,__post_init__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/diffable_table.py,funcao,__sub__,4,10,7,12,14,19,41.2193,72.3397,2.4,173.6154,9.6453,0.0241
piccolo/apps/migrations/auto/diffable_table.py,funcao,__str__,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/diffable_table.py,funcao,to_table_class,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,get_table_from_snapshot,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,get_snapshot,0,0,0,0,0,0,0,0,0,0,0,0
piccolo/apps/migrations/auto/schema_snapshot.py,funcao,_apply_add_tables,0,0,0,0,0,0,0,0,0,0,0,0
